NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;IDADE;TP_SEXO;ST_CONCLUSAO;ANO_CONCLUIU;TP_ESCOLA;IN_TP_ENSINO;TP_COR_RACA;NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;NU_NOTA_REDACAO;Q003
140000000764;2014;SANTO ANDRE;SP;23;M;1;2010;1;1;1;;;;;0;J
140000000765;2014;SAO MATEUS;ES;38;F;1;2004;1;2;3;476.9;541.9;510.6;549.9;440;D
140000000766;2014;GURUPI;TO;17;F;2;;1;1;3;593.6;597.5;557.5;374;720;B
140000000767;2014;MACAPA;AP;20;F;1;2013;1;1;2;;;;;0;B
140000000768;2014;RIO DE JANEIRO;RJ;18;F;2;;1;1;3;409.6;517.4;496.3;527;560;D
140000000769;2014;GUARUJA;SP;23;F;1;2012;1;2;1;;;;;0;D
140000000770;2014;RECIFE;PE;51;F;1;2004;1;1;1;497.2;582.6;557.5;397.7;420;C
140000000771;2014;SAO LUIS;MA;21;M;1;2011;1;1;1;544.3;596.6;539.9;450.5;680;B
140000000772;2014;SAO LUIS;MA;31;F;1;2004;1;2;3;395.2;531.2;489.1;367.7;360;C
140000000773;2014;BELO HORIZONTE;MG;21;M;1;2010;1;1;2;;;;;0;B
140000000774;2014;BOA VISTA;RR;18;M;2;;1;1;0;431;438.3;398.6;364.3;420;B
140000000775;2014;SALVADOR;BA;22;F;2;;1;2;2;496.9;553;566.5;421.4;400;A
140000000776;2014;PORTO ALEGRE;RS;20;M;1;2011;1;1;1;637.5;688.9;623.9;681;680;O
140000000777;2014;ARAGUARI;MG;20;F;1;2011;1;1;3;531.6;586;545.9;465.5;660;G
140000000778;2014;RECIFE;PE;22;F;1;2008;2;1;0;613.9;566.2;537.2;659.1;440;E
140000000779;2014;FLORIANOPOLIS;SC;21;M;1;2012;1;1;1;490.5;509.6;548.4;494.3;660;H
140000000780;2014;NOVA IGUACU;RJ;45;F;4;;;;3;;;;;0;L
140000000781;2014;CURITIBA;PR;24;F;1;2007;1;1;1;614.5;625.3;659.2;671.5;560;Q
140000000782;2014;MACEIO;AL;23;F;1;2009;1;1;1;367.8;465.3;459.8;411;440;E
140000000783;2014;PORTO VELHO;RO;20;F;1;2012;1;1;4;544.9;534.1;524.5;448.7;520;F
140000000784;2014;SERRA;ES;21;F;1;2010;1;1;2;455;523.9;476;389.6;420;C
140000000785;2014;FORTALEZA;CE;14;F;3;;;;1;446.6;545.5;509.4;393.5;720;F
140000000786;2014;ITABUNA;BA;19;F;1;2012;1;2;2;;;;;0;B
140000000787;2014;CURITIBA;PR;24;M;1;2009;1;1;1;547.9;631.4;;;0;G
140000000788;2014;PELOTAS;RS;20;F;2;;1;1;1;417.3;387;410.2;349;0;B
140000000789;2014;TUCURUI;PA;26;F;1;2006;1;1;3;;;;;0;C
140000000790;2014;UBERLANDIA;MG;28;F;1;2004;2;1;1;538.9;613;584.8;568.6;660;E
140000000791;2014;MARANGUAPE;CE;22;F;1;2011;1;1;1;519.5;587.3;576.3;450.7;620;B
140000000792;2014;NATAL;RN;23;F;1;2009;1;2;3;544.4;582.4;528.2;494.1;520;D
140000000793;2014;CAIEIRAS;SP;17;F;2;;1;1;3;475.4;494.9;537;393;720;F
140000000794;2014;FORTALEZA;CE;17;F;3;;;;1;583;608.9;564.6;725.2;940;Q
140000000795;2014;SAO PAULO;SP;19;F;1;2012;1;1;1;393;515.9;434;335.3;280;D
140000000796;2014;MANAUS;AM;25;F;1;2009;1;1;1;;;;;0;F
140000000797;2014;SOROCABA;SP;19;M;1;2012;1;1;1;;;;;0;C
140000000798;2014;ARARAQUARA;SP;30;M;1;2004;1;1;1;560.6;589.4;569.3;549.6;280;E
140000000799;2014;SAO PAULO;SP;24;M;1;2007;1;1;1;647.4;607.1;638.1;661;520;H
140000000800;2014;FORTALEZA;CE;22;M;1;2009;1;1;3;582.2;648.3;620;664.1;520;C
140000000801;2014;SINOP;MT;20;F;1;2011;1;1;3;439.9;536.9;524.1;325.9;560;B
140000000802;2014;GUARULHOS;SP;24;F;1;2009;1;1;3;430.3;556.3;444.5;378.8;520;C
140000000803;2014;CAMARAGIBE;PE;20;M;1;2013;2;1;3;364;570;;;0;Q
